Protein.id	LFQ_C37BM	LFQ_C39BM	LFQ_C37BS	LFQ_C39BS	LFQ_C37BW3	LFQ_C39BW3	LFQ_C37PPM	LFQ_C39PPM	LFQ_C37PPS	LFQ_C39PPS	LFQ_C37PPW3	LFQ_C39PPW3
Label	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1
A0A087WSY5;Q96IY4	1209200.22291364	767149.676293697	1975898.98002926	2240898.54783522	1809401.0270135	1600799.39811714	1827999.32430193	4089198.13068502	1487800.12992091	1427799.61863188	1134900.06552317	4781398.04808166
A0A087WT59;P02766	3405398.77616792	10141994.3724564	2111998.84098625	2894900.17241985	3223701.96725542	219669.942152183	6420999.83686535	348860.000615119	2717401.78649278	540230.211892913	8366600.3840518	299539.873242241
A0A087X1J7;P22352	1486199.86872356	7872404.273793	1719000.55546545	1447499.84157905	1829399.15776329	927980.062108837	2078198.7984276	1615800.26750913	1004000.347967	1211099.31181156	1312400.16085444	1715799.11119092
A0A087X232;P09871;F8WCZ6	1396200.2975967	444519.90720543	1032100.38730445	1781399.63508364	2146899.18184251	2265800.53550813	1369800.42895148	1262400.57970423	1270800.03394721	1544699.85630147	1169200.67846296	1417599.470473
A0A096LPE2;P35542	10357993.1982253	176720068.271969	21333998.8931758	21691011.9479941	23627993.0864985	5430802.88488415	44620029.3143033	7113898.39584201	17410996.0946669	16954998.1440108	54206023.6509485	3774601.10911649
P01857;A0A0A0MS08;A0A0A0MS07	18266004.7259471	4781998.61488397	17916004.9731889	13192001.1623416	22904006.9857857	18861006.7677126	16951994.6994521	13702006.4620881	18740009.8782763	16544002.7257936	27632010.276178	13626998.8004812
A0A0A0MSV6;D6R934;P02746	1376599.35376736	668269.707625633	2260600.23868336	1184599.67943871	2171500.03267304	1209799.86580681	1747300.41556852	668269.707625633	981820.571084505	1635499.85565463	1381699.22010871	668269.707625633
A0A0A0MTH3;Q13418	637899.856525154	640870.2843939	814710.061836564	1127200.63336901	1383099.18695473	1157300.49214983	1047799.96246719	1085599.30547812	545209.735232087	856160.314591055	1653401.08740554	1667600.22474302
A0A0B4J231;B9A064;A0A5H1ZRQ4;P0CG04	3301197.86498077	5311200.96879475	2921799.9648057	2172301.1565689	2564701.50758111	1226299.2682588	4401497.17754447	386529.960518669	2407299.38888564	386529.960518669	4143898.67554996	1258100.26757904
S4R460;A0A0B4J2B5	1867698.86013655	1238599.41922579	1238599.41922579	2900600.75601451	2100101.33377002	3220200.53052609	1485099.95142678	2271301.04817795	1585199.91888521	1278800.50385635	3161797.99338556	1867600.09335429
A0A0G2JPR0;P0C0L4;A0A140TA49;A0A140TA32	2219199.31780207	1082400.56743654	1367099.30756035	2418800.14169355	2889501.10771961	3770301.9211941	1108400.32434339	1741999.95516324	1298400.32281028	1419899.0666033	1442099.90646342	1368600.27752263
A0A3B3ISJ1;A0A0S2Z4L3;P07225;G5E9F8;A0A3B3IRK9	1745400.27071533	518909.91907818	777570.010559671	1271699.20049771	535890.258048602	1483300.59444634	1075699.92603476	1218499.98674153	1916198.81710456	3921502.48075621	538649.807808352	2035399.51620857
