Protein.id	LFQ_C37BM	LFQ_C39BM	LFQ_C37BS	LFQ_C39BS	LFQ_C37BW3	LFQ_C39BW3	LFQ_C37PPM	LFQ_C39PPM	LFQ_C37PPS	LFQ_C39PPS	LFQ_C37PPW3	LFQ_C39PPW3
A0A182DWH7;P49908	1772999.87222132	1007100.53293453	1488900.07862847	1942899.76718228	1452399.53506745	1538699.28566613	3139401.14242001	1713298.87591373	1116399.28637071	1007100.53293453	1829599.91256367	2665301.21768656
A0A286YES1;A0A4W9A917;P01860	12713007.3744458	4044101.27329738	9873905.71196765	11315993.9135968	8546403.40902993	9593503.88517972	8054003.35702606	9225999.53140403	13360994.3850977	7365398.50288533	9123396.11746266	4907597.12117901
A0A286YEY1;P01876	10731997.919469	3621400.87341101	11117993.062206	6975401.15066156	10422996.4515924	8046500.0263272	13107995.86067	6016800.25702622	11688003.3562723	6467500.54680896	21235003.7074678	7504601.44615614
A0A286YFJ8;P01861	7094203.22489355	1065300.53185393	5344899.70281259	1065300.53185393	4084999.65473087	3144497.96150763	6822396.04606037	1680301.06147567	7489100.04333794	1065300.53185393	14636005.9342123	1065300.53185393
A0A2Q2TTZ9;P01594;P01593	798489.837206574	132149.919883892	995759.578811509	522560.065203358	895339.712919874	153339.905733105	1035099.84203751	132149.919883892	583330.325723389	447200.172235949	1037999.5954065	150610.051034659
G3XAM2;E7ETH0;A0A2R8Y3M9;P05156	365800.044362656	609240.327769446	282550.000754999	290370.107763593	274269.951302754	350030.225417654	535459.671509358	540320.211607024	274269.951302754	416669.729752131	379490.133216471	805009.688905799
A0A2R8Y6G6;P06733;K7EM90	1979399.92529044	2197100.12985807	1692501.08330456	1694800.67012847	2423499.11624176	1136000.40726691	1122799.6216359	839230.23118993	1342299.85446819	1289700.78643729	1085299.38136239	928020.549295685
V9GYE7;A0A3B3IQ51;P36980;A0A3B3ISW6;A0A3B3IRW0;A0A3B3IS00;A0A3B3IS28	986989.942170887	1200699.83783684	934879.668870152	1141500.02931942	1169200.67846296	607200.297911805	1201800.41930252	677949.878460746	1091599.34900132	1193899.64017597	1098300.28676632	784619.965628625
A0A3B3ISR2;B4DPQ0;P00736;F5H2D0	991840.290631082	438979.911340422	912630.392066281	1203600.36474579	1272000.18515768	1994399.03512532	971389.522051429	2195500.20782948	854529.659965126	1390199.35650098	832449.732223407	1742299.37761131
A0A5H1ZRS2;A0A087X0Q4;A0A075B6P5;A0A087WW87;P01615;P01614	1567100.35212297	582100.009867877	1399499.08279237	1357399.19808284	1082799.89368395	705079.931155431	1603798.99079149	747739.651620976	962619.409599295	1735999.3491209	1827301.01721072	582100.009867877
A0A7I2V2D2;E9PGN7;P05155;H9KV48;A0A7I2V5R3;A0A087WUD9	1343100.44621735	3649599.86951741	1749500.97653514	1605500.40521336	1096299.75672637	1679998.96718988	1683000.10506982	2792201.24735867	1132400.12059418	2251300.71721844	1753400.3547402	3793797.53670385
P12814;A0A7I2V4Y4;H9KV75	579080.345985879	435850.193377649	438769.869971565	1588499.96470398	708499.931387234	1346599.52914945	637700.01379386	1318199.45898386	556120.206083881	869980.322995238	635210.195069646	1115400.50732906
A0A7P0TAP4;A0A7P0Z441;A0A7P0T9S6;A0A7P0TA52;A0A7P0TBH1;A0A7P0T8D1;P01019	319490.129459304	319490.129459304	556909.669516476	820800.051081407	319490.129459304	597390.362546434	707159.861853538	634260.258753889	346859.916799006	619339.830134168	398539.831822396	1170999.79062325
A0A7P0TAR4;J3KPY9;A0A7P0Z4A8;P58335;A0A0C4DG84	332829.826681184	332829.826681184	332829.826681184	480429.833832466	332829.826681184	531959.890858242	444149.817966615	610449.717129929	529270.299362576	389279.790053945	598630.043818071	772790.149056853
B0YIW2;P02656	3356801.09831673	23551988.7327799	4612597.26748225	3123598.519602	6011401.47247966	1207099.82270233	4102199.08791235	826539.894379421	2283600.77806095	1829899.87644087	7558499.87664207	1216000.75365397
B4E1Z4;P00751;H7C5H1;A0A0G2JH38	6434503.08837262	3021701.78420421	3449200.72565076	2686801.13840789	5874398.05924166	4897000.36590342	4784098.03033278	4125498.8877486	5448796.78777769	4363598.53512025	5518597.39785749	3248099.84615438
D6RF35;P02774;D6RBJ7	2017500.46206042	1330300.5977648	1520499.31844537	4664101.40472752	1738300.58169824	4406201.52420215	1918000.87958667	2490998.84673371	1696499.93470638	1887400.36318623	3397299.98323653	2652600.36206941
F5GY80;F5H7G1;P07358	1686599.62890933	949320.003745089	1252399.78297286	1712499.47978296	2024300.13162088	2176000.49150561	1799600.66764333	3162901.73999467	1680201.09779469	1473099.24798272	1706198.92756692	3262698.5706504
G3V2W1;Q9UK55	998120.165164499	1127899.77354562	984550.240051895	1166000.68630652	1714901.05504913	1357899.97861125	1746198.86466635	972909.976340294	1248800.36630894	362460.068544758	1066699.9968556	1169899.57486646
H0YAC1;P03952;E9PBC5	528399.846921993	307460.083439574	307460.083439574	310539.895077409	482869.956081572	457280.259981373	881650.546055998	381899.957963185	417899.977881427	523350.318234029	332249.938886025	642060.117890685
J3KNB4;P49913	1018399.64498194	1193099.64792494	804650.042006641	263229.978855343	1465899.29823636	263229.978855343	1379200.71901142	263229.978855343	1027699.69190178	263229.978855343	1703199.2041733	263229.978855343
J3KRP0;Q96KN2	498129.981011208	375690.24031302	480530.200142828	348719.818362818	293749.819440338	491930.304228987	391790.109025138	313369.951686684	233579.984449075	233579.984449075	351940.160619129	421199.726426277
K7ERI9;P02654;K7EJI9;K7ELM9;K7EPF9	5152900.13192978	39743011.0942283	12324999.2969154	1867898.87886876	8271104.64373043	1867898.87886876	11395005.9801465	1867898.87886876	4078200.4763339	1867898.87886876	11338996.7028669	2706001.28617866
O00299	820190.418875209	900379.856548719	900820.400521012	1356900.3961582	1581498.95899072	402519.74467441	663129.92596384	217150.013893115	747940.357582325	673450.217012431	1583099.27417941	514190.311628568
O14791	4703900.96066414	17234993.6677515	8767905.45957561	4293298.84170992	8577997.09288066	1579699.75482118	5278503.21919966	1368099.16827638	4661900.5607355	3230899.93526208	6084401.96210181	1776599.27186646
O43866	2252500.51982053	1456799.55536437	1976298.69980579	1677599.6926214	2950899.7219153	1777999.70506193	1577700.25851912	2171399.55411827	1654899.11909868	1456799.55536437	2808999.89007073	1844799.96363058
O95445;Q5SRP5	33114000.0502384	100160059.685192	53751012.2940182	52874011.4810318	70074005.1916828	14473007.5954323	50789006.7383733	8717095.63763317	38663009.5765307	32617021.3850321	8717095.63763317	10911000.7146449
P00450;E9PFZ2;H7C5R1	4012801.07036402	2219701.07898024	2067699.61730154	2145500.32720102	2339301.16757993	1954299.38215947	4160097.41957486	3226699.52521234	3396500.59391485	5190800.58739754	2688499.60182588	3567399.47256966
P00734;E9PIT3	11540002.720245	22413991.7893687	8505598.85168649	18166997.4946615	26568013.531972	9055596.62664765	15979003.9894897	5744799.04431137	20437990.0134284	4622101.93130816	14416995.1350866	9726295.64834906
P00738;J3QR68;H0Y300;A0A0C4DGL8;J3QLC9;A0A087WU08;H3BS21	5718497.03609698	7266597.60417774	6376401.26282853	5149597.12276324	3721698.89343882	4822600.1764876	6203297.15754248	6772797.44719186	3538399.16140235	5740699.18335441	6643496.35739864	5891898.44144565
P00739;A0A0A0MRD9	1947199.31028006	1151499.41288883	3495598.91924757	1499599.38268916	1513199.72641909	1376699.45549754	1764901.02988032	1706699.77092282	1151499.41288883	1378300.25127826	1359200.35704085	1632100.01166494
P00747	11520003.2409224	6159998.94212224	3968599.20925534	9934793.90688646	14238993.2582985	13494991.3411322	7334701.580651	12870996.9417774	10124002.7875045	13691992.4965	8985603.90003755	12988002.8410676
P00748	3805300.84516415	2010399.34335793	2235501.2170482	2858700.45083329	7433602.88237775	3010898.9261543	4278702.19148093	4570801.72683619	2699198.23102636	2871799.57621733	2778498.92670383	5625997.35791717
P01008	1565599.00111974	3034500.54473595	3237998.38949587	1134400.53526221	1406999.63266088	3320698.75337918	2326901.38228728	4038000.06487983	1995599.11354318	2007499.01574806	1617999.91981046	5265497.26010048
P01009;A0A024R6I7;A0A0G2JRN3	12818998.0413054	244120147.87652	29706985.057607	29189002.7347649	17094004.5510536	34362014.7920617	15950004.0169381	26492987.5855487	12501994.9017775	20634994.334037	19681009.7214321	44167986.4065584
P01011;G3V3A0	1698800.46285215	5802797.01106061	2489899.13298682	2639799.4840703	1269300.59813659	2907200.28541251	2283298.88924946	3714698.89373285	1188900.22275347	2539000.61750683	2524600.88901553	4816897.18240321
P01024	29348000.5315741	11832003.3052884	8873300.69852236	9551298.14100589	17041000.6068279	20745010.6579826	19889010.1296271	19740998.3971671	14598997.7951228	27849015.0966521	15910009.8877255	15802991.8466964
P01042	8755094.28197269	10141994.3724564	9876895.53680591	12056993.9882673	11685005.9755638	17334008.4169927	13255007.7660679	13545003.9343746	9769597.57785504	7008299.55656885	7227602.2244562	16377998.6389643
P01591;D6RD17;D6RHJ6	603329.720848411	1495400.22000114	351410.128744817	403529.986839629	503079.814992421	351410.128744817	860620.284390431	351410.128744817	560289.818658813	410929.924375937	778029.66440956	351410.128744817
P01834;A0A5H1ZRQ3	19150995.6254138	9247602.06832951	25583009.1487899	20189011.7321928	22928001.9210903	4677000.57647305	30690002.1562223	4108098.57044437	23996984.5406622	5134600.23468485	34947023.0421703	3049598.39774207
P01871	4725099.06791232	1733999.15902424	5292401.85752257	3817500.13494394	4616001.3139727	4430302.47481911	4795401.35965044	3540500.2173408	3471897.71449929	3991699.54095576	6266197.37790465	4584497.36629381
P02647;F8W696	4932698352.5689	11863987268.2694	6252104044.30352	2282700932.03994	8465401961.38914	395299940.624566	8698892934.30358	239450094.661979	1258299694.79242	1100700050.7745	6384295755.30567	243809864.796564
P02649;H0Y7L5;E9PEV4;E7ERP7	101950014.748825	881539690.966676	144340062.674127	196539928.1118	75700000.7138585	27935008.1923078	101480026.453618	22933004.02912	65104030.0218132	136959929.125961	133100063.616332	23394000.224854
V9GYM3;P02652;V9GYG9;V9GYE3;V9GYC1;V9GYS1	2219601.30456464	35236985.1587387	4666297.11852852	8485303.34333751	6366402.61719362	4318700.25202066	2219601.30456464	2996099.61204164	2332800.02623611	4974001.43944086	4705798.10824217	2752900.24940572
P02671	74377018.2760495	255799978.615273	129410043.113013	156369989.059476	297670168.171394	177139944.498702	100640032.954481	120089975.103676	172540067.658113	77992969.4165069	90255004.0110308	144660053.995462
P02675;D6REL8	81582015.7342	40683023.9993295	370010201.601302	355700057.821224	406920052.519282	400350081.538534	54260013.7671873	357430111.46641	415489730.888627	61298990.1063704	200270071.262862	212670033.049596
P02679;C9JEU5;C9JC84	68016998.7879653	73787995.147205	328139901.522764	450690094.467441	346260111.398143	481219920.451294	41082993.290073	509390298.817298	313910201.209832	155919960.838711	157810063.531225	409190173.374046
P02743	32509995.8347894	8572804.60563991	19308006.0285142	10764994.2100504	34768997.6700707	4350597.31530675	19649992.641012	9465903.45348932	19333012.7494208	28623005.7582756	12005997.7621914	6917004.32165498
P02747	1002300.11105091	650660.035457144	949720.455721996	1251400.10049907	1702499.05255379	901590.083254777	548500.017507053	488150.007249498	800520.34147834	2085398.78360191	813600.321586494	610440.032495286
P02748	5021202.90055539	4271202.25439449	2109099.71879801	4626301.92889878	3960401.72463073	3998402.08028254	2310299.4646715	4966897.86652781	2082998.77505869	10501005.9347305	2900501.05274902	4827697.15709486
P02749;J3QLI0;J3QRN2	2720698.2025338	4875701.40320259	3014499.56614758	1793800.02011477	1601900.29107057	2655898.92754432	4776602.54316861	4129001.97832927	2273199.62761614	2181900.22734746	3187399.87533773	6992196.14039269
P02751;H0Y7Z1	1003899.47351684	3204800.35369583	928599.832112146	1003500.05715094	3032800.00454098	573880.237138292	1770699.52259378	701420.450028335	1892900.47662261	515840.101521215	248800.059354156	520490.20551869
Q5VY30;P02753	529810.069440963	315980.067765915	524349.693728573	462699.94672424	386459.95698824	137520.057895767	512539.699618282	197909.910014787	383169.867941003	369660.168267686	431569.823740692	137520.057895767
P02760	1824599.706641	2600999.35895517	1211900.15752494	899050.007961368	1813400.34896138	1342699.20309948	1424400.22840805	883609.773360144	1150200.04542502	2049099.28238174	1358600.3040463	1074099.77176181
P02765;C9JV77	10415998.5792633	25797015.5800518	22807011.6551645	32862007.9029329	21454009.4671051	20503999.4329714	22295006.5105427	14947004.424339	11576998.4383155	10489003.917378	11540994.4502927	50308974.2482028
P02775	837150.236675559	16784004.6702923	880970.094479219	3721300.3657119	1197199.94025313	575300.022798395	1694399.64109611	921950.103287348	575300.022798395	1174899.86211423	2085699.32371805	1052300.64099137
P02787	4353399.34807526	2967401.39791526	2967401.39791526	3524500.05655423	4310400.71325696	4744899.47041901	6294003.25267456	5816599.48679596	4973001.98868243	4461802.58503503	8346702.75428686	3951301.65739163
P02790	1727699.44937877	1134600.02097186	2731799.43379942	1558200.31387781	1216800.01436522	2873200.91123675	2243400.40497509	2207298.9885814	1467499.04225568	1112600.7340489	3567399.47256966	2396499.57497896
P03951	413600.088383523	249910.041803112	249910.041803112	418570.137884444	429000.252939566	452550.046290727	584339.935164073	691940.10094179	391160.239996163	426409.900170834	449819.87593979	580460.043012851
P04003	13111999.6400368	4583600.41987859	4125002.58430825	5344899.70281259	3125102.06532097	7166203.37801375	4645399.6623707	8779098.69868378	9975502.17075176	17642990.4743277	4559599.7884892	9178697.52950544
P04004	36059978.1643758	98686980.456737	15846005.6999737	65193003.4511044	17737992.8184929	79640965.2018683	63053965.5531651	85241053.6130202	49250030.8375643	15131996.5237373	31987005.195731	118829982.53823
P04114	44357997.0504292	12872000.9486382	8922602.42528191	6810401.37141249	3246700.23005882	8114003.52243789	25733010.7911952	21161996.1243546	29264002.1170377	54651012.4866688	9507103.3762728	25226989.8896111
P04180;J3QSE5	1196399.31830786	2404201.50585628	1555399.09984942	709279.685292466	709279.685292466	709279.685292466	1480399.14725916	2538000.50452284	1222000.7595621	709279.685292466	1378200.0331519	2364399.34828039
P04196	18328003.5883477	23526003.3026345	21975996.9225889	10895994.4695176	22691009.3145739	13606008.4536853	42561009.1351327	15268991.170116	20685006.3083672	4000400.7559741	26040993.5697926	14396005.9507823
P04217;M0R009	283329.930752438	283329.930752438	346980.084061764	285089.921089459	316609.824215962	283329.930752438	358880.04133442	434390.182850221	387850.132920008	283329.930752438	396490.214726425	360639.865267517
P04406;E7EUT5	3607299.72628813	1948801.20848239	6051302.67101371	5706496.37300552	11105006.9111867	3741501.71216595	4344998.65913122	2095400.45578119	3641700.19309201	2848299.57988127	8142900.58756121	3695301.74093541
P05090;C9JF17	37619020.6112555	32466013.4805099	64227994.4972305	35192011.924674	58559970.2036382	18884011.4401763	50932971.6726671	15416007.8201722	30592009.3808035	31798992.5264004	51727966.65699	19647992.3805271
P05546	423010.049574196	335689.889861818	509160.10526928	570299.71208758	1348099.37919572	730179.642877291	378039.948051923	700440.021511474	335689.889861818	749779.865803215	407219.876485866	1044299.70767642
P06396;A0A0A0MS51;A0A0A0MT01	6613700.53069067	4172700.36569328	5934198.66575643	9258403.93719864	11426006.7171989	9873696.84973884	9925000.38077219	11371002.5687372	7135100.79880085	9311494.82801417	7162102.20333379	11510001.2855297
P06727	168409947.374669	329559837.368257	230309907.877409	500440223.902946	352759973.946043	126520077.796968	238760017.368778	108710006.339196	128430007.902017	184580002.799509	294169892.255784	86732050.0407541
P07357	1194799.68029598	956320.113964239	956320.113964239	1673300.24854179	1362600.86292263	1335799.24597438	1698099.87445448	1662299.77336821	1005400.36280939	1141900.02327072	1114100.63175727	1662200.8806113
P07384	426270.114289634	426270.114289634	452069.862833796	1291200.42208322	426270.114289634	1729200.78481717	681189.650786106	909719.983305253	638629.771892471	655930.329509118	790829.981610058	1210100.5986759
P08519	1252399.78297286	16186994.822793	282570.173273312	7489902.07857339	137099.988733952	3149898.71359899	740949.559478539	36242984.4808729	1517599.34192068	18680988.2761006	137099.988733952	15642996.0660044
P08603	9560204.69022864	3607399.87908822	2769700.44995098	8896300.05384991	8830596.80678081	8243605.17770016	9172498.68403337	9602399.01066202	6682599.56479264	13658996.5006217	5425499.51542107	6168401.10051018
P08697;A0A0G2JPA8;C9JMH6;A0A0J9YY65	1091300.65277782	2234298.65352865	1352499.88128384	1660099.15373312	1381299.22903397	1465099.11182598	1405900.7094348	1799500.74384779	1613599.33901075	1119000.00356094	1653899.55171322	2899201.38916309
P0C0L5;F5GXS0;A0A3B3ISA6	23088001.3516459	3466297.71940931	11041996.6016396	12461993.816979	36025002.468842	23451009.0973283	7742299.83725088	8161503.07713315	20392996.4029941	20810003.1762878	27725982.7124674	2522999.29765165
P0DOY2;P0DOY3	14422008.8720902	38529013.4463059	14287002.4450681	14840007.7554798	4337697.9141074	4337697.9141074	21310009.8411859	4337697.9141074	11899002.5816956	4337697.9141074	23197015.0287226	4719798.40190752
P10909;H0YC35;H0YLK8	60683027.7386726	619170268.208474	107779954.459737	98861967.1212245	78083967.6197442	31139005.7174258	115159978.076975	51075994.1434262	69906983.9892121	61143021.3952838	79546049.1486429	40663020.54868
P13671	585739.907368218	444759.748553928	444759.748553928	690229.721070268	942799.814692495	1192199.31225978	544310.189878834	946370.159995775	801729.886145843	870270.216083877	792919.625844165	870950.463378011
P18206	1022799.73033093	596510.391135256	1509000.38488719	2075700.04844343	3053499.63450995	1389600.31537307	1935301.16867182	1287099.75715945	1504900.23646323	1020900.28022309	2323099.06682668	1712700.99207789
Q5T985;P19823;Q5T987	1763200.8527876	2839201.2429476	516519.799456597	1132299.8182649	1488600.90655738	1988598.74386445	2079199.14046467	1020200.02358259	1105299.51578429	1879598.8140691	795560.483043422	1121000.45903504
P19827	1215600.51663752	774660.048311544	629289.694710027	596930.090128181	1751199.51947194	1692501.08330456	750860.129719458	1235400.5694187	1066499.75935478	2215599.35736232	776769.607235347	1022199.52249763
P20851;Q5VVQ7	7925297.16128341	21164989.9511426	3879901.24403879	2837099.98683671	1351100.52026032	2769400.20296483	8049298.32337548	4584600.40516052	4599000.08576184	7395695.88467555	3334600.82777489	5858103.52532845
P21333;Q60FE5;A0A7P0NMY4	637780.112010797	1279600.43992802	600239.603835464	1750799.03322068	781260.022931045	3515699.66834843	1155699.65254564	1456999.87270229	1166400.01311805	1574000.1604145	1171800.45652812	2844999.00907692
P23528;E9PP50;E9PS23;G3V1A4;E9PK25	861270.21526034	2556498.92966524	890359.564681511	1687799.69255664	1202599.88584115	449179.845344802	1163199.99691512	449179.845344802	600730.224792927	449179.845344802	1107899.27544175	449179.845344802
P27169	52573028.8730725	15842004.8350746	58569029.111484	41414995.6792163	90451026.8186633	44977998.9130661	36013002.288851	33264987.2371374	45972004.6916929	30982017.332828	65915979.2819016	32216013.4281043
P35858	376890.168877797	935549.809815929	538399.906571093	363450.005027169	540140.227169852	272670.108477644	368159.924751349	573570.007913076	453000.194890053	422179.819425467	350560.029843195	780319.632904195
P43652	1204700.41947399	3593999.39965418	2583199.87260251	616179.932403211	961500.125794535	743679.795720635	786919.967955316	1140599.42417516	1002900.56759132	584430.32936347	1220899.43425986	1066499.75935478
P48059;A0A0M3HER1	954280.406894206	524699.891135523	524699.891135523	1170600.43665793	2372600.29450743	880970.094479219	1161700.03722131	949350.125918722	639879.736008556	1637700.34365293	2077100.07649145	1594100.31570713
P55058	1170600.43665793	625189.862791454	2100001.3825821	1264299.64391589	1250300.37960371	625189.862791454	5096301.53793903	1053599.44882557	2275599.15176283	969380.469860745	4242102.01580892	625189.862791454
P60709;E7EVS6;A0A2R8Y793	4496902.29136217	2502201.36439504	2458399.76114334	5003000.29361442	4398600.21851231	3638201.66432172	3626599.31786222	3443300.45329386	2793600.67445868	3892499.22078434	4510102.21168822	3552099.47791734
P61224;A6NIZ1;F5H823;F5H7Y6;E7ESV4;F5GZG1;B7ZB78;P62834;F5GX62	2976198.28211152	1811299.00530672	6455097.11527297	2459199.43662451	3641098.41848141	1131400.48858441	8205504.62565789	1131400.48858441	9275004.39332131	1801500.2743492	10584999.6312718	1131400.48858441
P63104;E7EX29;E7ESK7;B0AZS6	989880.546035382	1019900.63852834	1410499.21205883	1462900.36719175	2500501.58184723	230539.94386399	1123999.67662497	193859.95607078	735950.024251664	530159.708192062	1206000.76583254	193859.95607078
P68363;Q9BQE3;F5H5D3;Q71U36;F8VVB9;A0A1W2PQM2;P0DPH8;P0DPH7;Q6PEY2;F8VQQ4	1968699.61344895	1017500.64747626	1276400.3198541	4689799.01487174	2418301.33147378	2076699.18770608	1078700.58227905	899830.074363666	1209099.512072	2108001.38139702	1171100.42454052	2811701.05065441
P68871;A0A2R8Y7R2;F8W6P5	13693006.235839	87751993.1363389	7771701.81564655	30776018.5478816	12841999.6737307	12921993.7618699	9789198.05810676	11026999.7126165	14922007.8776831	24198011.515593	10503005.2914207	12753999.651786
P69905;G3V1N2;A0A2R8Y7C0	7219102.90187347	41469017.992221	6010797.49179392	13113005.1100356	6484598.4760892	4802697.75797495	6076797.07057448	5782701.28690885	5786402.72611029	11116993.5885916	5540697.31005008	14520001.2176049
P80108	2330900.97389404	984729.883809437	3244700.59898319	2177600.59823971	2679798.33984915	1664199.65566628	1510800.95653571	3346697.8364267	1660799.43391826	1820501.07188605	3178201.42142752	3902299.55168622
Q03591;B1AKG0	3360402.19558938	772569.496551362	1518000.67049922	1423699.86454929	2726199.91648406	1226299.2682588	2781799.5802501	1358399.14798633	1395299.79907971	1542000.37865088	1684199.83418774	1047999.46010377
Q13790	755199.767277623	1763599.51266918	1271500.82497984	298289.897327245	1196600.21458167	298289.897327245	661640.323969657	298289.897327245	653210.412563735	298289.897327245	1694699.84384348	298289.897327245
Q14520	7781499.83275967	5925003.08991897	5038199.34811908	4879602.81431452	11633998.7580711	5135700.05997757	8583204.07279235	4198598.16404363	6841101.45714874	3629899.52414204	7523396.67359575	6772698.95242495
Q14624;B7ZKJ8;H7C0L5	3351998.25152428	1228800.17284918	4004602.28638791	3193900.23229481	2810099.36152068	5122199.40013213	3620400.37032582	5964196.76339765	2824898.51489227	4832301.18377241	2654600.06679153	6275200.66813618
Q15166;F8WD41;C9JZ99	670329.66768028	462229.770587294	663829.906841195	807050.370804202	1103799.79239629	838329.781193506	262609.861788527	438760.008621359	361630.089561583	925540.600493953	660569.638357654	455169.796613986
Q9H4B7	348289.939595764	246170.103354455	285419.907977364	724830.053314906	291679.81613359	602499.942359673	351809.903334216	454060.287622965	353370.104301156	390209.854189488	246170.103354455	815249.870917948
Q9HBI1;A0A087WZB5	1800300.28959088	1251299.18356406	2469501.38187135	3742698.96626878	4039500.47110776	2112400.95855847	2359799.36435232	1643300.33923972	2257300.15919519	2194499.03494072	3183798.96112253	2735098.85124381
Q9NZN3	452340.090184088	1020000.42378334	452340.090184088	1342200.4794921	452340.090184088	1371699.64785074	604620.09492908	671430.375588039	876009.648554342	781580.28229626	452340.090184088	1284099.86352961
Q9UHG3;F8W8W4	1428299.93505443	779569.991104765	2243699.98489959	977090.267163717	1676799.21821681	779569.991104765	1811600.75887226	1340499.8243553	1863900.10690305	1178099.3565171	1403599.660521	1502800.69698114
Q9Y490	5136800.12085119	1349800.75297075	2362299.67007197	5158503.06057149	4161901.79562977	3103400.03222223	6007500.50959736	4597601.84882915	3854399.40684441	4856799.68630466	4719598.72870465	2142099.21531867
