protein.id	LFQ_C37BM	LFQ_C39BM	LFQ_C37BS	LFQ_C39BS	LFQ_C37BW3	LFQ_C39BW3	LFQ_C37PM	LFQ_C39PM	LFQ_C37PS	LFQ_C39PS	LFQ_C37PW3	LFQ_C39PW3	LFQ_C37PPM	LFQ_C39PPM	LFQ_C37PPS	LFQ_C39PPS	LFQ_C37PPW3	LFQ_C39PPW3
A0A0G2JPR0;P0C0L4;A0A140TA49;A0A140TA32	2219199.31780207	1082400.56743654	1367099.30756035	2418800.14169355	2889501.10771961	3770301.9211941	2415901.44712882	2113400.99932963	1445600.78338632	598839.810257355	1438499.10101448	432380.218167931	1108400.32434339	1741999.95516324	1298400.32281028	1419899.0666033	1442099.90646342	1368600.27752263
A0A3B3ISJ1;A0A0S2Z4L3;P07225;G5E9F8;A0A3B3IRK9	1745400.27071533	NA	777570.010559671	1271699.20049771	535890.258048602	1483300.59444634	2754101.55832006	1805498.84218666	2358099.67061671	959799.529939114	NA	518909.91907818	1075699.92603476	1218499.98674153	1916198.81710456	3921502.48075621	538649.807808352	2035399.51620857
A0A182DWH7;P49908	1772999.87222132	NA	1488900.07862847	1942899.76718228	1452399.53506745	1538699.28566613	1673499.36069388	1326400.13236798	2125101.3090626	4818801.67789594	1543499.50551637	2801100.82807445	3139401.14242001	1713298.87591373	1116399.28637071	1007100.53293453	1829599.91256367	2665301.21768656
A0A286YES1;A0A4W9A917;P01860	12713007.3744458	NA	9873905.71196765	11315993.9135968	8546403.40902993	9593503.88517972	8326797.40212899	10467005.8524988	7402298.74571096	NA	NA	4044101.27329738	8054003.35702606	9225999.53140403	13360994.3850977	7365398.50288533	9123396.11746266	4907597.12117901
A0A286YEY1;P01876	10731997.919469	3621400.87341101	11117993.062206	6975401.15066156	10422996.4515924	8046500.0263272	13632999.4131884	7509802.18329943	11800993.1030489	2361600.19177231	10582998.6575939	4091101.56291266	13107995.86067	6016800.25702622	11688003.3562723	6467500.54680896	21235003.7074678	7504601.44615614
A0A286YFJ8;P01861	7094203.22489355	NA	5344899.70281259	1065300.53185393	4084999.65473087	3144497.96150763	7547096.60556774	2499001.17789302	6005697.86525266	NA	3579001.6878656	NA	6822396.04606037	1680301.06147567	7489100.04333794	NA	14636005.9342123	NA
A0A2Q2TTZ9;P01594;P01593	798489.837206574	NA	995759.578811509	522560.065203358	895339.712919874	153339.905733105	893369.831002882	509690.147653167	771989.562803602	NA	987009.515461123	589789.971578789	1035099.84203751	132149.919883892	583330.325723389	447200.172235949	1037999.5954065	150610.051034659
G3XAM2;E7ETH0;A0A2R8Y3M9;P05156	365800.044362656	609240.327769446	282550.000754999	290370.107763593	NA	350030.225417654	357669.826534914	375599.853599408	451729.916763819	806440.2890853	NA	423059.825779606	535459.671509358	540320.211607024	274269.951302754	416669.729752131	379490.133216471	805009.688905799
A0A2R8Y6G6;P06733;K7EM90	1979399.92529044	2197100.12985807	1692501.08330456	1694800.67012847	2423499.11624176	1136000.40726691	1039699.90823512	640020.182096101	996540.549945517	3145500.02004555	1922601.14447837	1524799.19887104	1122799.6216359	839230.23118993	1342299.85446819	1289700.78643729	1085299.38136239	928020.549295685
V9GYE7;A0A3B3IQ51;P36980;A0A3B3ISW6;A0A3B3IRW0;A0A3B3IS00;A0A3B3IS28	986989.942170887	1200699.83783684	934879.668870152	1141500.02931942	1169200.67846296	607200.297911805	811090.43196069	1142899.86596707	1508400.00659655	1189499.23446196	1462699.23861742	1324800.06305687	1201800.41930252	677949.878460746	1091599.34900132	1193899.64017597	1098300.28676632	784619.965628625
A0A3B3ISR2;B4DPQ0;P00736;F5H2D0	991840.290631082	438979.911340422	912630.392066281	1203600.36474579	1272000.18515768	1994399.03512532	1073800.18539266	1922199.57890952	919669.954749011	NA	683290.340286032	1126999.46866611	971389.522051429	2195500.20782948	854529.659965126	1390199.35650098	832449.732223407	1742299.37761131
A0A5H1ZRS2;A0A087X0Q4;A0A075B6P5;A0A087WW87;P01615;P01614	1567100.35212297	NA	1399499.08279237	1357399.19808284	1082799.89368395	705079.931155431	1100800.62617714	1817999.68258499	1211000.04383008	NA	1304499.88284286	2080298.97274098	1603798.99079149	747739.651620976	962619.409599295	1735999.3491209	1827301.01721072	582100.009867877
A0A7I2V2D2;E9PGN7;P05155;H9KV48;A0A7I2V5R3;A0A087WUD9	1343100.44621735	3649599.86951741	1749500.97653514	1605500.40521336	1096299.75672637	1679998.96718988	1362699.94672908	1717701.09405423	1901800.3926581	4084200.4338995	1560399.94373273	4553997.07704635	1683000.10506982	2792201.24735867	1132400.12059418	2251300.71721844	1753400.3547402	3793797.53670385
P12814;A0A7I2V4Y4;H9KV75	579080.345985879	NA	438769.869971565	1588499.96470398	708499.931387234	1346599.52914945	745470.387295548	1171199.5186934	435850.193377649	708870.020112848	949569.795663422	1276800.31878875	637700.01379386	1318199.45898386	556120.206083881	869980.322995238	635210.195069646	1115400.50732906
A0A7P0TAP4;A0A7P0Z441;A0A7P0T9S6;A0A7P0TA52;A0A7P0TBH1;A0A7P0T8D1;P01019	NA	NA	556909.669516476	820800.051081407	NA	597390.362546434	319490.129459304	752200.466304155	389590.251614695	NA	NA	925469.632527525	707159.861853538	634260.258753889	346859.916799006	619339.830134168	398539.831822396	1170999.79062325
A0A7P0TAR4;J3KPY9;A0A7P0Z4A8;P58335;A0A0C4DG84	332829.826681184	NA	NA	480429.833832466	NA	531959.890858242	364059.799593625	730999.686040277	429509.873869273	NA	616709.672770865	564090.073817226	444149.817966615	610449.717129929	529270.299362576	389279.790053945	598630.043818071	772790.149056853
B0YIW2;P02656	3356801.09831673	23551988.7327799	4612597.26748225	3123598.519602	6011401.47247966	1207099.82270233	2386899.74879465	2321100.50594006	15239002.995495	12955007.6420342	11080002.9179546	1641200.81264026	4102199.08791235	826539.894379421	2283600.77806095	1829899.87644087	7558499.87664207	1216000.75365397
B4E1Z4;P00751;H7C5H1;A0A0G2JH38	6434503.08837262	3021701.78420421	3449200.72565076	2686801.13840789	5874398.05924166	4897000.36590342	6256098.59006264	6682599.56479264	3963099.15268723	1243099.28888104	3212100.49993014	2265899.39096154	4784098.03033278	4125498.8877486	5448796.78777769	4363598.53512025	5518597.39785749	3248099.84615438
D6RF35;P02774;D6RBJ7	2017500.46206042	NA	1520499.31844537	4664101.40472752	1738300.58169824	4406201.52420215	1737700.86519599	2000099.89287165	2546998.8853802	2037001.25982791	1330300.5977648	3358998.59620102	1918000.87958667	2490998.84673371	1696499.93470638	1887400.36318623	3397299.98323653	2652600.36206941
F5GY80;F5H7G1;P07358	1686599.62890933	949320.003745089	1252399.78297286	1712499.47978296	2024300.13162088	2176000.49150561	1445000.79419744	2066499.8929143	1540700.27626451	463070.187344893	1074300.01587612	1736800.53027454	1799600.66764333	3162901.73999467	1680201.09779469	1473099.24798272	1706198.92756692	3262698.5706504
G3V2W1;Q9UK55	998120.165164499	1127899.77354562	984550.240051895	1166000.68630652	1714901.05504913	1357899.97861125	1402900.25038522	981109.503442062	1335599.70010571	1094299.97711491	2035200.3958407	823280.12057347	1746198.86466635	972909.976340294	1248800.36630894	362460.068544758	1066699.9968556	1169899.57486646
H0YAC1;P03952;E9PBC5	528399.846921993	NA	307460.083439574	310539.895077409	482869.956081572	457280.259981373	746669.800032407	404770.133336484	506530.203921915	NA	340390.004446594	319030.056612669	881650.546055998	381899.957963185	417899.977881427	523350.318234029	332249.938886025	642060.117890685
J3KNB4;P49913	1018399.64498194	1193099.64792494	804650.042006641	NA	1465899.29823636	NA	1004300.37661759	318329.825962436	1516299.76598364	1416299.39269585	1738500.53318974	495080.323157869	1379200.71901142	NA	1027699.69190178	263229.978855343	1703199.2041733	NA
J3KRP0;Q96KN2	498129.981011208	375690.24031302	480530.200142828	348719.818362818	293749.819440338	491930.304228987	323900.042684025	233579.984449075	314750.108798932	356360.028245715	340829.958595407	634049.820490534	391790.109025138	313369.951686684	NA	NA	351940.160619129	421199.726426277
K7ERI9;P02654;K7EJI9;K7ELM9;K7EPF9	5152900.13192978	39743011.0942283	12324999.2969154	NA	8271104.64373043	NA	3045299.50776297	5044297.73108601	24462998.2659965	22621996.3700842	NA	6642003.382993	11395005.9801465	1867898.87886876	4078200.4763339	NA	11338996.7028669	2706001.28617866
O00299	820190.418875209	900379.856548719	900820.400521012	1356900.3961582	1581498.95899072	402519.74467441	940110.079305392	700880.025362963	721459.980560809	1518199.36741365	1255800.36402794	1092199.8746689	663129.92596384	217150.013893115	747940.357582325	673450.217012431	1583099.27417941	514190.311628568
O14791	4703900.96066414	17234993.6677515	8767905.45957561	4293298.84170992	8577997.09288066	1579699.75482118	4548497.46419912	3736000.26216741	7524998.22765182	11505999.8929443	5256302.36203213	5777802.81836426	5278503.21919966	1368099.16827638	4661900.5607355	3230899.93526208	6084401.96210181	1776599.27186646
O43866	2252500.51982053	NA	1976298.69980579	1677599.6926214	2950899.7219153	1777999.70506193	1952899.50368956	NA	1692400.3938255	NA	1651600.87214957	1889799.85284662	1577700.25851912	2171399.55411827	1654899.11909868	1456799.55536437	2808999.89007073	1844799.96363058
O95445;Q5SRP5	33114000.0502384	100160059.685192	53751012.2940182	52874011.4810318	70074005.1916828	14473007.5954323	38701979.0868511	35726997.0792587	27373994.6122404	130030012.222637	78280045.8869364	61745038.1431272	50789006.7383733	8717095.63763317	38663009.5765307	32617021.3850321	NA	10911000.7146449
P00450;E9PFZ2;H7C5R1	4012801.07036402	2219701.07898024	2067699.61730154	2145500.32720102	2339301.16757993	1954299.38215947	3981701.00914252	3599001.48769558	3171598.83373786	NA	1645900.78060882	864289.534592846	4160097.41957486	3226699.52521234	3396500.59391485	5190800.58739754	2688499.60182588	3567399.47256966
P00734;E9PIT3	11540002.720245	22413991.7893687	8505598.85168649	18166997.4946615	26568013.531972	9055596.62664765	12861998.4122999	9093399.59765077	12103997.4683467	16522996.7110961	20724999.0258418	13932996.7854862	15979003.9894897	5744799.04431137	20437990.0134284	4622101.93130816	14416995.1350866	9726295.64834906
P00738;J3QR68;H0Y300;A0A0C4DGL8;J3QLC9;A0A087WU08;H3BS21	5718497.03609698	7266597.60417774	6376401.26282853	5149597.12276324	3721698.89343882	4822600.1764876	5386697.21585922	5872503.36692171	5248601.32713866	11480001.960584	4753803.07653922	10472002.616683	6203297.15754248	6772797.44719186	3538399.16140235	5740699.18335441	6643496.35739864	5891898.44144565
P00739;A0A0A0MRD9	1947199.31028006	NA	3495598.91924757	1499599.38268916	1513199.72641909	1376699.45549754	1774801.00598448	1584100.03161016	2978300.18174424	NA	2048701.08932902	2499100.2957427	1764901.02988032	1706699.77092282	1151499.41288883	1378300.25127826	1359200.35704085	1632100.01166494
P00747	11520003.2409224	6159998.94212224	3968599.20925534	9934793.90688646	14238993.2582985	13494991.3411322	8254194.56287879	13411999.7597362	4144802.73290788	3308901.32157245	7892903.24708172	9666506.3747104	7334701.580651	12870996.9417774	10124002.7875045	13691992.4965	8985603.90003755	12988002.8410676
P00748	3805300.84516415	2010399.34335793	2235501.2170482	2858700.45083329	7433602.88237775	3010898.9261543	3137301.68236733	3058800.70965052	3773797.75640683	1231999.84870986	6107298.01065769	2997799.39021841	4278702.19148093	4570801.72683619	2699198.23102636	2871799.57621733	2778498.92670383	5625997.35791717
P01008	1565599.00111974	3034500.54473595	3237998.38949587	1134400.53526221	1406999.63266088	3320698.75337918	2276300.24232373	1880501.07374187	3007600.79228526	3386501.69771247	2183700.98045852	4980897.85831987	2326901.38228728	4038000.06487983	1995599.11354318	2007499.01574806	1617999.91981046	5265497.26010048
P01009;A0A024R6I7;A0A0G2JRN3	12818998.0413054	244120147.87652	29706985.057607	29189002.7347649	17094004.5510536	34362014.7920617	17694989.1292999	23621996.163283	18767010.0117633	99363959.6208114	20207998.2070142	75862004.7167177	15950004.0169381	26492987.5855487	12501994.9017775	20634994.334037	19681009.7214321	44167986.4065584
P01011;G3V3A0	1698800.46285215	5802797.01106061	2489899.13298682	2639799.4840703	1269300.59813659	2907200.28541251	1609400.08491789	2958399.74400613	1778999.01032507	8277394.66317002	1549699.08120131	4778598.50601767	2283298.88924946	3714698.89373285	1188900.22275347	2539000.61750683	2524600.88901553	4816897.18240321
P01024	29348000.5315741	11832003.3052884	8873300.69852236	9551298.14100589	17041000.6068279	20745010.6579826	20275007.0656644	17017991.054787	11573004.3551967	5653196.6501019	10064003.7879097	8141102.94556637	19889010.1296271	19740998.3971671	14598997.7951228	27849015.0966521	15910009.8877255	15802991.8466964
P01042	8755094.28197269	10141994.3724564	9876895.53680591	12056993.9882673	11685005.9755638	17334008.4169927	9004298.09340189	10087995.2761919	9205798.31139209	15468005.9614856	9423299.73835194	13434005.0346736	13255007.7660679	13545003.9343746	9769597.57785504	7008299.55656885	7227602.2244562	16377998.6389643
P01591;D6RD17;D6RHJ6	603329.720848411	1495400.22000114	NA	403529.986839629	503079.814992421	NA	552470.048815122	404109.779873538	476920.100025876	1416900.57723368	676379.590609797	351410.128744817	860620.284390431	NA	560289.818658813	410929.924375937	778029.66440956	NA
P01834;A0A5H1ZRQ3	19150995.6254138	9247602.06832951	25583009.1487899	20189011.7321928	22928001.9210903	4677000.57647305	22068991.2187214	10650005.3162103	21761010.7647953	9567297.96298451	27922011.1072795	4596599.02769433	30690002.1562223	4108098.57044437	23996984.5406622	5134600.23468485	34947023.0421703	3049598.39774207
P01871	4725099.06791232	1733999.15902424	5292401.85752257	3817500.13494394	4616001.3139727	4430302.47481911	4774102.45022484	4101499.52793662	4163497.77997413	1335599.70010571	4357401.26800432	2067800.76484437	4795401.35965044	3540500.2173408	3471897.71449929	3991699.54095576	6266197.37790465	4584497.36629381
P02647;F8W696	4932698352.5689	11863987268.2694	6252104044.30352	2282700932.03994	8465401961.38914	395299940.624566	4435095592.52122	1411599656.24639	5899099491.60442	7681400515.15851	10099002878.7599	550480281.752275	8698892934.30358	239450094.661979	1258299694.79242	1100700050.7745	6384295755.30567	243809864.796564
P02649;H0Y7L5;E9PEV4;E7ERP7	101950014.748825	881539690.966676	144340062.674127	196539928.1118	75700000.7138585	27935008.1923078	101739966.212423	146050009.087315	105430022.533474	720760108.256493	96081003.216096	127380072.87681	101480026.453618	22933004.02912	65104030.0218132	136959929.125961	133100063.616332	23394000.224854
V9GYM3;P02652;V9GYG9;V9GYE3;V9GYC1;V9GYS1	NA	35236985.1587387	4666297.11852852	8485303.34333751	6366402.61719362	4318700.25202066	2219601.30456464	6155700.42627937	6125403.14243714	23027003.4856327	8050500.93238025	5548900.28418887	NA	2996099.61204164	2332800.02623611	4974001.43944086	4705798.10824217	2752900.24940572
P02671	74377018.2760495	255799978.615273	129410043.113013	156369989.059476	297670168.171394	177139944.498702	79848025.8160018	160660012.579374	170040015.772179	128709963.119613	160660012.579374	143030092.358042	100640032.954481	120089975.103676	172540067.658113	77992969.4165069	90255004.0110308	144660053.995462
P02675;D6REL8	81582015.7342	40683023.9993295	370010201.601302	355700057.821224	406920052.519282	400350081.538534	96328004.912257	508539767.199672	290630075.361237	66655960.8018781	387010050.350755	144620088.016719	54260013.7671873	357430111.46641	415489730.888627	61298990.1063704	200270071.262862	212670033.049596
P02679;C9JEU5;C9JC84	68016998.7879653	73787995.147205	328139901.522764	450690094.467441	346260111.398143	481219920.451294	108780021.782583	511290272.321373	196869942.078029	99803957.5865151	303839823.793149	415879922.593561	41082993.290073	509390298.817298	313910201.209832	155919960.838711	157810063.531225	409190173.374046
P02743	32509995.8347894	8572804.60563991	19308006.0285142	10764994.2100504	34768997.6700707	4350597.31530675	40342006.2098842	25101001.7839447	38507014.434924	4157898.01964474	13469003.6811702	3616401.12136219	19649992.641012	9465903.45348932	19333012.7494208	28623005.7582756	12005997.7621914	6917004.32165498
P02747	1002300.11105091	650660.035457144	949720.455721996	1251400.10049907	1702499.05255379	901590.083254777	1610000.22085248	1578200.93845043	688660.124356962	408469.742833397	522589.773144916	620770.307677315	548500.017507053	488150.007249498	800520.34147834	2085398.78360191	813600.321586494	610440.032495286
P02748	5021202.90055539	4271202.25439449	2109099.71879801	4626301.92889878	3960401.72463073	3998402.08028254	5067498.78540559	8592798.1740945	2934598.44260593	1331599.19231853	1391100.2415628	1153800.48262943	2310299.4646715	4966897.86652781	2082998.77505869	10501005.9347305	2900501.05274902	4827697.15709486
P02749;J3QLI0;J3QRN2	2720698.2025338	4875701.40320259	3014499.56614758	1793800.02011477	1601900.29107057	2655898.92754432	2564599.78789465	2134599.04781454	4413600.06176638	6280902.79848305	2744999.25806298	6675403.00998342	4776602.54316861	4129001.97832927	2273199.62761614	2181900.22734746	3187399.87533773	6992196.14039269
P02751;H0Y7Z1	1003899.47351684	3204800.35369583	928599.832112146	1003500.05715094	3032800.00454098	573880.237138292	1299499.39920204	1537599.13730224	1614201.04082289	659229.577628514	1297899.17806185	636409.712907046	1770699.52259378	701420.450028335	1892900.47662261	515840.101521215	248800.059354156	520490.20551869
Q5VY30;P02753	529810.069440963	315980.067765915	524349.693728573	462699.94672424	386459.95698824	137520.057895767	464799.849581324	315909.893757643	628130.170156762	NA	292319.878835319	429550.192653449	512539.699618282	197909.910014787	383169.867941003	369660.168267686	431569.823740692	NA
P02760	1824599.706641	2600999.35895517	1211900.15752494	899050.007961368	1813400.34896138	1342699.20309948	1387599.26021102	1267199.66886591	1277899.69521413	3561701.94350875	1109900.42894042	1263699.71893222	1424400.22840805	883609.773360144	1150200.04542502	2049099.28238174	1358600.3040463	1074099.77176181
P02765;C9JV77	10415998.5792633	25797015.5800518	22807011.6551645	32862007.9029329	21454009.4671051	20503999.4329714	10743993.8914092	15777001.8131755	12481004.7500427	69217975.1150179	19158010.2784487	29367989.4431898	22295006.5105427	14947004.424339	11576998.4383155	10489003.917378	11540994.4502927	50308974.2482028
P02775	837150.236675559	16784004.6702923	880970.094479219	3721300.3657119	1197199.94025313	575300.022798395	764369.655228668	911959.788817396	7733501.97593736	24413984.8045795	2723998.61737941	2869700.75206249	1694399.64109611	921950.103287348	NA	1174899.86211423	2085699.32371805	1052300.64099137
P02787	4353399.34807526	NA	2967401.39791526	3524500.05655423	4310400.71325696	4744899.47041901	4951300.45898114	4172998.27358356	3023400.09860079	NA	3784099.59946002	5140896.86315206	6294003.25267456	5816599.48679596	4973001.98868243	4461802.58503503	8346702.75428686	3951301.65739163
P02790	1727699.44937877	1134600.02097186	2731799.43379942	1558200.31387781	1216800.01436522	2873200.91123675	1903000.10134014	1564599.58913007	1997298.92052491	1748300.95759084	1963500.95898378	2342200.84908104	2243400.40497509	2207298.9885814	1467499.04225568	1112600.7340489	3567399.47256966	2396499.57497896
P03951	413600.088383523	NA	249910.041803112	418570.137884444	429000.252939566	452550.046290727	370550.215821363	451250.006928849	402139.961271535	NA	NA	329630.041289371	584339.935164073	691940.10094179	391160.239996163	426409.900170834	449819.87593979	580460.043012851
P04003	13111999.6400368	4583600.41987859	4125002.58430825	5344899.70281259	3125102.06532097	7166203.37801375	11582999.8045046	7197203.65160599	8052395.67206993	3359700.32259658	NA	1761900.58936334	4645399.6623707	8779098.69868378	9975502.17075176	17642990.4743277	4559599.7884892	9178697.52950544
P04004	36059978.1643758	98686980.456737	15846005.6999737	65193003.4511044	17737992.8184929	79640965.2018683	19150995.6254138	46260020.1303323	51709983.696166	116770058.544783	43783977.6284542	58350998.7169959	63053965.5531651	85241053.6130202	49250030.8375643	15131996.5237373	31987005.195731	118829982.53823
P04114	44357997.0504292	12872000.9486382	8922602.42528191	6810401.37141249	3246700.23005882	8114003.52243789	35042005.6735638	19045000.7884688	16517995.0518414	11630999.8497613	8532697.45898053	9179401.38133942	25733010.7911952	21161996.1243546	29264002.1170377	54651012.4866688	9507103.3762728	25226989.8896111
P04180;J3QSE5	1196399.31830786	2404201.50585628	1555399.09984942	NA	NA	709279.685292466	NA	1280500.75453102	2030800.50878281	2177099.718959	1793200.12205298	2020300.38359644	1480399.14725916	2538000.50452284	1222000.7595621	NA	1378200.0331519	2364399.34828039
P04196	18328003.5883477	23526003.3026345	21975996.9225889	10895994.4695176	22691009.3145739	13606008.4536853	22299988.4491303	7368096.31118586	25651998.6684353	21747004.453781	34345982.0600869	7442403.94074705	42561009.1351327	15268991.170116	20685006.3083672	4000400.7559741	26040993.5697926	14396005.9507823
P04217;M0R009	NA	NA	346980.084061764	285089.921089459	316609.824215962	283329.930752438	379229.833076545	310700.053403166	351490.047303886	NA	NA	543160.018022935	358880.04133442	434390.182850221	387850.132920008	NA	396490.214726425	360639.865267517
P04406;E7EUT5	3607299.72628813	1948801.20848239	6051302.67101371	5706496.37300552	11105006.9111867	3741501.71216595	4497098.48838304	3131400.85280458	4129700.76940728	2089800.9182996	6478300.29733846	5696501.25342054	4344998.65913122	2095400.45578119	3641700.19309201	2848299.57988127	8142900.58756121	3695301.74093541
P05090;C9JF17	37619020.6112555	32466013.4805099	64227994.4972305	35192011.924674	58559970.2036382	18884011.4401763	43220014.7278169	35204995.190284	42895994.3793697	71945965.9842967	51106998.0797256	42493989.577699	50932971.6726671	15416007.8201722	30592009.3808035	31798992.5264004	51727966.65699	19647992.3805271
P05546	423010.049574196	NA	509160.10526928	570299.71208758	1348099.37919572	730179.642877291	501679.718367256	833729.565283259	520919.773445324	NA	424150.217021947	335689.889861818	378039.948051923	700440.021511474	NA	749779.865803215	407219.876485866	1044299.70767642
P06396;A0A0A0MS51;A0A0A0MT01	6613700.53069067	4172700.36569328	5934198.66575643	9258403.93719864	11426006.7171989	9873696.84973884	7010903.64179246	10811005.0510032	8529900.26634301	2452799.58069373	10395995.1936163	7468504.34199102	9925000.38077219	11371002.5687372	7135100.79880085	9311494.82801417	7162102.20333379	11510001.2855297
P06727	168409947.374669	329559837.368257	230309907.877409	500440223.902946	352759973.946043	126520077.796968	219850043.953186	361349977.539032	131689987.478118	326520105.607209	267340018.278009	234470087.810116	238760017.368778	108710006.339196	128430007.902017	184580002.799509	294169892.255784	86732050.0407541
P07357	1194799.68029598	NA	956320.113964239	1673300.24854179	1362600.86292263	1335799.24597438	1093000.12614721	1670100.01001911	1335799.24597438	NA	1155200.13079261	1460699.12885368	1698099.87445448	1662299.77336821	1005400.36280939	1141900.02327072	1114100.63175727	1662200.8806113
P07384	426270.114289634	NA	452069.862833796	1291200.42208322	NA	1729200.78481717	512389.968563859	811479.777911675	451470.200720386	NA	590630.355737472	1435700.47363803	681189.650786106	909719.983305253	638629.771892471	655930.329509118	790829.981610058	1210100.5986759
P08519	1252399.78297286	16186994.822793	282570.173273312	7489902.07857339	NA	3149898.71359899	396060.088920928	41626995.0762101	2331800.98123046	75862004.7167177	NA	4309101.61325742	740949.559478539	36242984.4808729	1517599.34192068	18680988.2761006	137099.988733952	15642996.0660044
P08603	9560204.69022864	3607399.87908822	2769700.44995098	8896300.05384991	8830596.80678081	8243605.17770016	9255895.01797949	10167999.8438713	6005102.39680347	2019200.2373223	2242599.7441294	2863000.87322321	9172498.68403337	9602399.01066202	6682599.56479264	13658996.5006217	5425499.51542107	6168401.10051018
P08697;A0A0G2JPA8;C9JMH6;A0A0J9YY65	1091300.65277782	2234298.65352865	1352499.88128384	1660099.15373312	1381299.22903397	1465099.11182598	1189200.4769965	1267100.82819883	1915400.97631388	1458599.54657509	1259599.7945378	1721299.73556008	1405900.7094348	1799500.74384779	1613599.33901075	1119000.00356094	1653899.55171322	2899201.38916309
P0C0L5;F5GXS0;A0A3B3ISA6	23088001.3516459	3466297.71940931	11041996.6016396	12461993.816979	36025002.468842	23451009.0973283	19494994.5832681	16544002.7257936	11698995.1761979	6972496.82804089	22455011.6358339	1790198.90619392	7742299.83725088	8161503.07713315	20392996.4029941	20810003.1762878	27725982.7124674	2522999.29765165
P0DOY2;P0DOY3	14422008.8720902	38529013.4463059	14287002.4450681	14840007.7554798	NA	NA	12430006.2386343	14447008.222993	15053996.3237126	25810013.066368	NA	16028005.4315676	21310009.8411859	4337697.9141074	11899002.5816956	NA	23197015.0287226	4719798.40190752
P10909;H0YC35;H0YLK8	60683027.7386726	619170268.208474	107779954.459737	98861967.1212245	78083967.6197442	31139005.7174258	96776947.2306235	72441995.5246631	116389980.874465	511349760.546183	89422054.0664637	52658033.1177156	115159978.076975	51075994.1434262	69906983.9892121	61143021.3952838	79546049.1486429	40663020.54868
