protein.id	LFQ_C37BM	LFQ_C39BM	LFQ_C37BS	LFQ_C39BS	LFQ_C37BW3	LFQ_C39BW3	LFQ_C37PM	LFQ_C39PM	LFQ_C37PS	LFQ_C39PS	LFQ_C37PW3	LFQ_C39PW3	LFQ_C37PPM	LFQ_C39PPM	LFQ_C37PPS	LFQ_C39PPS	LFQ_C37PPW3	LFQ_C39PPW3
A0A087WSY5;Q96IY4	1209200.22291364	767149.676293697	1975898.98002926	2240898.54783522	1809401.0270135	1600799.39811714	1436300.39895772	1563100.63396769	589589.611002625	1126799.82957485	1589699.58221559	2952300.62312699	1827999.32430193	4089198.13068502	1487800.12992091	1427799.61863188	1134900.06552317	4781398.04808166
A0A087WT59;P02766	3405398.77616792	10141994.3724564	2111998.84098625	2894900.17241985	3223701.96725542	219669.942152183	3853798.14950455	1137500.26861621	4701501.07690121	8024201.68557323	8499697.26171534	NA	6420999.83686535	348860.000615119	2717401.78649278	540230.211892913	8366600.3840518	299539.873242241
A0A087X1J7;P22352	1486199.86872356	7872404.273793	1719000.55546545	1447499.84157905	1829399.15776329	927980.062108837	1200099.94554476	1396100.62367933	1568399.92281013	6397401.35219007	2029799.3002075	2237701.18826122	2078198.7984276	1615800.26750913	1004000.347967	1211099.31181156	1312400.16085444	1715799.11119092
A0A087X232;P09871;F8WCZ6	1396200.2975967	444519.90720543	1032100.38730445	1781399.63508364	2146899.18184251	2265800.53550813	1430700.11238334	1385899.71298512	741739.5295537	NA	766659.960482809	875830.153852552	1369800.42895148	1262400.57970423	1270800.03394721	1544699.85630147	1169200.67846296	1417599.470473
A0A096LPE2;P35542	10357993.1982253	176720068.271969	21333998.8931758	21691011.9479941	23627993.0864985	5430802.88488415	19964012.2887276	11510001.2855297	60865980.7958812	93524055.3020478	75880962.8653064	30688014.0733868	44620029.3143033	7113898.39584201	17410996.0946669	16954998.1440108	54206023.6509485	3774601.10911649
P01857;A0A0A0MS08;A0A0A0MS07	18266004.7259471	4781998.61488397	17916004.9731889	13192001.1623416	22904006.9857857	18861006.7677126	17285995.5249707	13375999.7227609	15808006.8936471	2642400.82126946	12804008.1373487	10578004.8705829	16951994.6994521	13702006.4620881	18740009.8782763	16544002.7257936	27632010.276178	13626998.8004812
A0A0A0MSV6;D6R934;P02746	1376599.35376736	NA	2260600.23868336	1184599.67943871	2171500.03267304	1209799.86580681	2223198.94975325	1034900.06354677	1590000.15364366	NA	NA	1584100.03161016	1747300.41556852	NA	981820.571084505	1635499.85565463	1381699.22010871	668269.707625633
A0A0A0MTH3;Q13418	637899.856525154	640870.2843939	814710.061836564	1127200.63336901	1383099.18695473	1157300.49214983	753320.070904745	858219.461351961	897970.210400503	NA	1307599.29590861	3018599.33187097	1047799.96246719	1085599.30547812	545209.735232087	856160.314591055	1653401.08740554	1667600.22474302
A0A0B4J231;B9A064;A0A5H1ZRQ4;P0CG04	3301197.86498077	5311200.96879475	2921799.9648057	2172301.1565689	2564701.50758111	1226299.2682588	2217298.93609195	2668700.25282296	2539198.67318589	4292101.36094928	2744799.66535306	3418999.95913874	4401497.17754447	NA	2407299.38888564	386529.960518669	4143898.67554996	1258100.26757904
S4R460;A0A0B4J2B5	1867698.86013655	NA	NA	2900600.75601451	2100101.33377002	3220200.53052609	1831301.16529472	2254499.62484849	1332400.44794691	NA	1598800.67333367	1238599.41922579	1485099.95142678	2271301.04817795	1585199.91888521	1278800.50385635	3161797.99338556	1867600.09335429
