Accesion 	Hits	Gene.name
P02647	45	APOA1_HUMAN
P06727	45	APOA4_HUMAN
O14791	45	APOL1_HUMAN
P02656	44	APOC3_HUMAN
P02649	44	APOE_HUMAN
P02652	43	APOA2_HUMAN
P02654	43	APOC1_HUMAN
P01009	42	A1AT_HUMAN
P02655	42	APOC2_HUMAN
O95445	42	APOM_HUMAN
P27169	42	PON1_HUMAN
P02765	40	FETUA_HUMAN
P10909	40	CLUS_HUMAN
P35542	40	SAA4_HUMAN
P04114	39	APOB_HUMAN
P01024	39	CO3_HUMAN
P0DJI8/P0DJI9	39	SAA1/SAA2_HUMAN
P02768	38	ALBU_HUMAN
P05090	37	APOD_HUMAN
P00739	37	HPTR_HUMAN
P02787	37	TRFE_HUMAN
P02766	37	TTHY_HUMAN
Q13790	35	APOF_HUMAN
P02671	35	FIBA_HUMAN
P02774	34	VTDB_HUMAN
P02749	33	APOH_HUMAN
P02760	33	AMBP_HUMAN
P00738	32	HPT_HUMAN
P04004	32	VTNC_HUMAN
P55058	31	PLTP_HUMAN
P01019	30	ANGT_HUMAN
P0C0L5	30	CO4B_HUMAN
Q14624	29	ITIH4_HUMAN
P55056	28	APOC4_HUMAN
P68871	28	HBB_HUMAN
P02790	28	HEMO_HUMAN
P01876	28	IGHA1_HUMAN
P01834	28	IGKC_HUMAN
P01023	27	A2MG_HUMAN
P08519	27	LPA_HUMAN
P69905	27	HBA_HUMAN
P00734	27	THRB_HUMAN
P0C0L4	26	CO4A_HUMAN
P02748	26	CO9_HUMAN
P01042	26	KNG1_HUMAN
P02753	26	RET4_HUMAN
Q15166	26	PON3_HUMAN
P19652	25	ORM2_HUMAN
P01011	25	AACT_HUMAN
P04217	25	A1BG_HUMAN
P08697	24	A2AP_HUMAN
P01008	24	ANT3_HUMAN
P02675	24	FIBB_HUMAN
P04180	24	LCAT_HUMAN
P05155	24	IC1_HUMAN
P01857	23	IGHG1_HUMAN
Q9UHG3	23	PCYOX_HUMAN
P80108	22	PHLD_HUMAN
P02679	21	FIBG_HUMAN
P05546	21	HEP2_HUMAN
P01871	21	IGHM_HUMAN
P19823	21	ITIH2_HUMAN
P36955	21	PEDF_HUMAN
P02763	20	ORM1_HUMAN
P04003	20	C4BPA_HUMAN
P02775	20	CXCL7_HUMAN
P11597	19	CETP_HUMAN
P06396	19	GELS_HUMAN
P01859	19	IGHG2_HUMAN
P08603	18	CFAH_HUMAN
P02751	18	FINC_HUMAN
P19827	18	ITIH1_HUMAN
P00747	18	PLMN_HUMAN
P00751	17	CFAB_HUMAN
P04196	17	HRG_HUMAN
P18428	17	LBP_HUMAN
P02276	17	PLF4_HUMAN
P07988	17	PSPB_HUMAN
